user_id,transaction_count,transaction_value,average_transaction_value,chargeback_transactions,fraud_chargeback_transactions,high_risk_transactions,high_risk_user_flag,repeated_chargeback_user_flag,identity_anomaly_flag,kyc_rejected_transactions,chargeback_ratio,fraud_chargeback_ratio,high_risk_transaction_ratio,investigation_flag
USR51423,2,37974.69,18987.345,2,2,2,False,1,0.0,0,1.0,1.0,1.0,1
USR51504,3,37382.67,12460.89,2,2,2,False,1,0.0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
USR18442,3,22640.09,11320.045,2,2,2,False,1,0.0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
USR58627,2,15533.310000000001,7766.655000000001,2,2,2,False,1,0.0,0,1.0,1.0,1.0,1
USR63885,2,12016.5,6008.25,2,2,2,False,1,0.0,0,1.0,1.0,1.0,1
USR18716,2,8561.77,4280.885,2,2,2,True,1,0.0,0,1.0,1.0,1.0,1
USR60842,3,50182.020000000004,16727.34,2,1,1,False,1,0.0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1
USR68953,2,33146.020000000004,16573.010000000002,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR88654,2,27558.57,13779.285,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR97464,2,24841.760000000002,12420.880000000001,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR48489,3,24567.36,8189.12,2,1,1,False,1,0.0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1
USR23949,2,23432.42,11716.21,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR96932,2,22004.559999999998,11002.279999999999,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR63941,2,19973.22,9986.61,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR16569,2,13599.81,6799.905,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR19658,2,10374.92,5187.46,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR48734,2,8203.94,8203.94,2,1,1,True,1,0.0,2,1.0,0.5,0.5,1
USR34667,2,0.0,,2,1,1,False,1,0.0,0,1.0,0.5,0.5,1
USR69151,4,65477.03,16369.2575,1,1,1,False,0,0.0,0,0.25,0.25,0.25,1
USR80837,3,61040.44,20346.813333333335,1,1,1,False,0,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
USR82423,3,55444.259999999995,18481.42,1,1,1,False,0,1.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
USR52813,3,49627.9,16542.633333333335,1,1,1,False,1,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
USR25501,3,49595.509999999995,16531.836666666666,1,1,1,False,0,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
USR86483,2,48198.270000000004,24099.135000000002,1,1,1,False,0,0.0,0,0.5,0.5,0.5,1
USR55702,3,48040.71,16013.57,1,1,1,False,0,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
USR13385,2,46540.3,23270.15,1,1,1,False,0,0.0,0,0.5,0.5,0.5,1
USR81352,2,44502.979999999996,22251.489999999998,1,1,1,False,0,0.0,0,0.5,0.5,0.5,1
USR15284,2,43251.78,21625.89,1,1,1,False,0,0.0,0,0.5,0.5,0.5,1
USR14920,2,42431.05,21215.525,1,1,1,False,1,0.0,0,0.5,0.5,0.5,1
